Temperature (K)   DeltaA (kJ/mol)
0.0                3.273810
20.0               3.269810
40.0               3.253010
60.0               3.235210
80.0               3.219810
100.0              3.206710
120.0              3.195110
140.0              3.184310
160.0              3.173810
180.0              3.163710
200.0              3.153710
220.0              3.143710
240.0              3.133610
260.0              3.123510
280.0              3.113410
300.0              3.103210
320.0              3.092910
340.0              3.082610
360.0              3.072110
380.0              3.061610
400.0              3.051110
