Temperature (K)   DeltaA (kJ/mol)
0.0                5.781340
20.0               5.753340
40.0               5.644640
60.0               5.501140
80.0               5.344140
100.0              5.180240
120.0              5.011940
140.0              4.840640
160.0              4.666940
180.0              4.491640
200.0              4.315040
220.0              4.137240
240.0              3.958640
260.0              3.779240
280.0              3.599240
300.0              3.418740
320.0              3.237840
340.0              3.056540
360.0              2.874940
380.0              2.693040
400.0              2.511040
