Temperature (K)   DeltaA (kJ/mol)
0.0                1.975130
20.0               1.964130
40.0               1.920930
60.0               1.862230
80.0               1.796330
100.0              1.726030
120.0              1.652930
140.0              1.577630
160.0              1.500630
180.0              1.422530
200.0              1.343430
220.0              1.263530
240.0              1.182930
260.0              1.101830
280.0              1.020230
300.0              0.938330
320.0              0.856030
340.0              0.773430
360.0              0.690530
380.0              0.607430
400.0              0.524230
