Temperature (K)   DeltaA (kJ/mol)
0.0                9.326170
20.0               9.301670
40.0               9.201770
60.0               9.072070
80.0               8.932970
100.0              8.789970
120.0              8.645070
140.0              8.498870
160.0              8.351770
180.0              8.204270
200.0              8.056470
220.0              7.908170
240.0              7.759670
260.0              7.610970
280.0              7.461970
300.0              7.312970
320.0              7.163770
340.0              7.014470
360.0              6.865070
380.0              6.715570
400.0              6.566070
