Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long 
2600200.00 28119.0547 5581.27344 1735.33801 1330.13062 5354.27930 1300.78271 74.1462326 -6.04995584 31.3297215 -76.1280441
2600400.00 28119.0547 5749.57227 1646.85767 1331.85852 5336.54443 1313.66284 62.6394501 -6.04995584 31.7086105 -76.1524124
2600600.00 28119.0547 6173.04492 1654.34241 1318.60852 5504.43994 1316.91064 46.0454826 -6.04995584 31.8264542 -76.1740494
2600800.00 28119.0547 6545.69043 1672.53381 1318.64185 5675.48193 1303.98352 59.1084251 -6.04995584 31.7031384 -76.1531601
2601000.00 28119.0547 6392.59131 1689.56885 1321.10583 5632.19678 1305.45471 60.2811127 -6.04995584 31.5327473 -76.1627579
2601200.00 28119.0547 5696.42920 1713.83142 1385.67737 5435.54346 1347.39026 82.4274521 -6.04995584 32.0560265 -76.1964035
2601400.00 28119.0547 4904.11230 1687.26807 1306.49353 5004.87744 1300.18335 50.9346466 -6.04995584 31.6005573 -76.2249374
2601600.00 28119.0547 6211.68018 1685.29175 1319.42053 5552.04492 1273.00916 91.2383118 -6.04995584 31.4096680 -76.2366257
2601800.00 28119.0547 6533.97266 1770.86316 1336.13342 5786.49756 1323.36572 57.5554848 -6.04995584 31.4491482 -76.2369232
2602000.00 28119.0547 5953.53320 1705.54810 1284.08447 5431.10254 1271.71204 57.2671127 -6.04995584 31.3134518 -76.2080765
2602200.00 28119.0547 5954.79541 1647.03125 1340.28357 5429.30225 1299.93262 85.6200485 -6.04995584 30.9719143 -76.2410202
2602400.00 28119.0547 5018.58447 1738.19495 1352.10608 5148.36035 1314.37427 82.9384766 -6.04995584 31.0010204 -76.2076569
2602600.00 28119.0547 5321.42041 1664.77686 1352.19043 5199.21582 1322.11890 75.2562103 -6.04995584 31.0149841 -76.1996841
2602800.00 28119.0547 5365.88525 1687.12012 1316.29236 5203.89502 1299.84888 61.6830139 -6.04995584 30.9830437 -76.2227020
2603000.00 28119.0547 6531.40381 1657.69946 1310.11841 5646.26514 1289.28186 65.4846954 -6.04995584 31.5756111 -76.2238312
2603200.00 28119.0547 6877.88721 1698.32361 1329.04980 5847.90918 1281.43433 92.2830429 -6.04995584 31.5772591 -76.2448273
2603400.00 28119.0547 6946.85986 1726.91650 1319.17871 5894.91602 1286.14404 77.8935471 -6.04995584 31.3702698 -76.2291641
2603600.00 28119.0547 6991.54932 1699.19507 1273.44421 5839.78662 1270.24036 48.9277420 -6.04995584 30.5343132 -76.2581024
2603800.00 28119.0547 7238.71045 1597.31860 1297.74390 5863.56738 1279.91345 63.6813545 -6.04995584 30.4495811 -76.3005524
2604000.00 28119.0547 7902.99316 1667.03528 1359.99756 6267.95166 1320.33911 85.7425919 -6.04995584 30.2284603 -76.3126526
2604200.00 28119.0547 6620.43750 1707.63464 1365.20178 5787.79590 1334.29077 77.0307312 -6.04995584 30.1845779 -76.3042679
2604400.00 28119.0547 4875.59033 1660.81848 1344.26624 5004.50391 1306.01746 84.2479095 -6.04995584 30.3309422 -76.3301315
2604600.00 28119.0547 3793.09302 1658.72913 1324.18457 4538.41406 1293.33240 76.6021194 -6.04995584 30.5691452 -76.3190842
2604800.00 28119.0547 3859.05078 1753.78552 1320.75415 4657.08838 1281.96265 84.2557678 -6.04995584 30.8384056 -76.3027878
2605000.00 28119.0547 5065.30469 1648.64392 1307.83655 5033.69873 1274.75354 78.5951233 -6.04995584 30.7504826 -76.2626495
2605200.00 28119.0547 5379.26660 1678.02795 1359.80981 5243.80811 1321.94043 83.6028366 -6.04995584 30.4969978 -76.2304230
2605400.00 28119.0547 4416.04053 1724.22424 1318.80603 4853.99365 1314.05884 50.4193039 -6.04995584 30.5623875 -76.2345047
2605600.00 28119.0547 3055.07227 1695.13416 1320.74963 4268.73096 1304.97253 61.1941757 -6.04995584 30.8416519 -76.2586975
2605800.00 28119.0547 3595.52588 1640.12854 1324.93652 4439.54541 1287.70715 82.7909698 -6.04995584 30.6663113 -76.2279129
2606000.00 28119.0547 3443.80981 1657.10583 1431.99243 4501.36182 1398.07166 79.4236603 -6.04995584 30.7867756 -76.2897720
2606200.00 28119.0547 3638.28052 1669.65417 1328.15125 4489.81885 1315.82544 58.0591316 -6.04995584 30.5511131 -76.2844391
2606400.00 28119.0547 3288.85669 1695.26025 1296.94995 4340.92920 1288.33411 54.8469162 -6.04995584 30.1056252 -76.3367462
2606600.00 28119.0547 3494.77295 1725.04602 1298.47278 4456.68164 1283.16418 61.3553352 -6.04995584 30.2731991 -76.3199539
2606800.00 28119.0547 5223.46436 1679.40283 1340.84338 5162.32422 1314.36755 72.0466766 -6.04995584 30.6750469 -76.2458115
2607000.00 28119.0547 5934.55322 1702.66724 1329.34521 5465.69873 1295.28320 79.6043320 -6.04995584 30.7451324 -76.2874146
2607200.00 28119.0547 6658.06445 1691.36572 1373.64233 5795.39746 1342.61743 76.5093918 -6.04995584 30.7556171 -76.2401505
2607400.00 28119.0547 5445.62109 1633.62683 1329.36975 5196.17822 1297.92456 76.7891083 -6.04995584 30.8456211 -76.1895294
2607600.00 28119.0547 5666.15234 1766.45178 1288.62634 5378.69678 1268.44153 65.0837021 -6.04995584 31.2877598 -76.1867142
2607800.00 28119.0547 4767.15430 1681.11914 1358.12500 4994.19482 1329.73779 73.8225708 -6.04995584 30.8155327 -76.2509308
2608000.00 28119.0547 6647.66797 1678.48303 1331.75476 5736.36328 1289.14734 88.1811600 -6.04995584 30.6670074 -76.2408066
2608200.00 28119.0547 6333.50537 1702.35205 1366.69836 5666.34229 1325.89124 86.2912445 -6.04995584 30.7433586 -76.2274551
2608400.00 28119.0547 7150.96387 1656.69470 1392.32971 5981.54590 1345.36060 91.7646713 -6.04995584 31.3967686 -76.1923218
2608600.00 28119.0547 4642.27246 1668.92651 1331.93726 4904.60205 1294.12341 82.6040955 -6.04995584 31.4236984 -76.2140350
2608800.00 28119.0547 4985.00879 1740.46558 1383.35205 5168.10791 1308.68445 119.313751 -6.04995584 31.5380135 -76.1841354
2609000.00 28119.0547 3397.83374 1738.46375 1341.40515 4473.27832 1283.90686 101.667580 -6.04995584 32.0373688 -76.2066879
2609200.00 28119.0547 4306.70654 1716.96765 1270.48535 4753.57959 1253.10107 61.4746895 -6.04995584 32.0938606 -76.1843338
2609400.00 28119.0547 4093.32104 1659.19202 1333.54285 4671.35498 1288.52612 88.9482727 -6.04995584 32.2204819 -76.1520386
2609600.00 28119.0547 4774.87402 1723.58521 1363.60303 5045.30469 1320.79248 86.5307617 -6.04995584 32.3994064 -76.1196899
2609800.00 28119.0547 2209.85034 1666.07593 1308.05774 3880.36572 1295.90344 55.8268394 -6.04995584 32.4487534 -76.1213531
2610000.00 28119.0547 2832.40015 1679.64026 1356.01465 4197.18701 1317.07971 83.3625107 -6.04995584 31.7593822 -76.1869736
2610200.00 28119.0547 2956.63037 1757.50574 1341.10815 4311.09131 1275.30090 110.341293 -6.04995584 31.6700726 -76.2040405
2610400.00 28119.0547 4413.44287 1704.15076 1286.47058 4800.51953 1263.84155 67.4401321 -6.04995584 31.4289455 -76.2399902
2610600.00 28119.0547 4050.55591 1714.96936 1330.52527 4706.57715 1309.59924 65.6010208 -6.04995584 31.5168209 -76.1917267
2610800.00 28119.0547 4535.69629 1683.55750 1322.75610 4866.34619 1291.74939 76.1146240 -6.04995584 31.0767879 -76.1847076
2611000.00 28119.0547 3095.20703 1668.79553 1296.35376 4234.45508 1261.35547 79.9426575 -6.04995584 31.2250862 -76.1695786
2611200.00 28119.0547 4553.84082 1705.96008 1360.74048 4934.17383 1315.36584 90.3039856 -6.04995584 31.2332916 -76.1626205
2611400.00 28119.0547 4167.02979 1721.29907 1290.08557 4720.23145 1254.73547 80.0783234 -6.04995584 31.4041348 -76.1323853
