Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long 
2500200.00 28653.9277 4229.97754 1689.42175 1266.85400 4723.93311 1292.57385 18.9775295 -5.93702316 31.3619213 -76.0593414
2500400.00 28653.9277 4056.80859 1714.14075 1258.09753 4667.53027 1295.36646 7.19719982 -5.93702316 31.5528793 -76.0189590
2500600.00 28653.9277 3563.53247 1638.37317 1249.15967 4376.69092 1261.96631 31.3935261 -5.93702316 31.8453541 -76.0455399
2500800.00 28653.9277 5213.96240 1745.31445 1276.05408 5200.22168 1276.60400 43.6554565 -5.93702316 31.8170147 -76.0223389
2501000.00 28653.9277 5176.76611 1703.30725 1250.95654 5117.57275 1278.28430 16.7177086 -5.93702316 31.9927216 -76.0382614
2501200.00 28653.9277 6318.23096 1659.55627 1246.92322 5546.79346 1255.64001 35.3012009 -5.93702316 32.0335007 -76.0515518
2501400.00 28653.9277 6765.39160 1687.03271 1309.95044 5824.16016 1316.86108 37.6167755 -5.93702316 31.5041027 -76.0315399
2501600.00 28653.9277 7061.24219 1709.21301 1286.53296 5946.55518 1303.89368 26.7648258 -5.93702316 31.8758163 -76.0014343
2501800.00 28653.9277 5986.37158 1683.39905 1214.05322 5399.08594 1251.63806 6.44710302 -5.93702316 31.9637394 -75.9958115
2502000.00 28653.9277 5676.42920 1702.86523 1237.79626 5312.77393 1285.04321 -2.83192682 -5.93702316 31.5624676 -75.9774094
2502200.00 28653.9277 6447.68555 1640.81555 1337.97705 5673.20361 1351.76868 30.3274746 -5.93702316 31.8511791 -75.9702835
2502400.00 28653.9277 6224.35840 1693.65674 1200.41626 5495.15869 1254.03052 -9.61330128 -5.93702316 31.9542885 -75.9551315
2502600.00 28653.9277 5442.12256 1707.27136 1260.56055 5242.03027 1302.49365 2.11957049 -5.93702316 31.9003029 -75.9529266
2502800.00 28653.9277 5008.86816 1707.78479 1264.00891 5064.94043 1303.84534 4.24201107 -5.93702316 31.8659077 -75.9443359
2503000.00 28653.9277 3350.76978 1644.11475 1258.01184 4302.37354 1291.21118 11.2551689 -5.93702316 31.4933434 -75.9478455
2503200.00 28653.9277 4044.44971 1705.37256 1310.29016 4705.79053 1331.83191 23.7814884 -5.93702316 30.7048893 -76.0280533
2503400.00 28653.9277 3705.36621 1668.63416 1265.53772 4482.60010 1296.98523 14.0313454 -5.93702316 30.5320187 -76.0108566
2503600.00 28653.9277 5119.73486 1629.14685 1234.61316 5003.23633 1264.60962 15.5979557 -5.93702316 30.4486332 -76.0430069
2503800.00 28653.9277 5359.80518 1700.56458 1276.96484 5217.32861 1306.18262 16.1136932 -5.93702316 30.7004547 -76.0319443
2504000.00 28653.9277 5471.95020 1713.22156 1253.98108 5253.86572 1286.21765 12.3701715 -5.93702316 31.3713322 -75.9780121
2504200.00 28653.9277 4474.52393 1626.12158 1246.65015 4742.62207 1281.60254 9.71750927 -5.93702316 31.3344002 -76.0042114
2504400.00 28653.9277 4601.15576 1682.74048 1263.36804 4868.87695 1286.57800 21.7473545 -5.93702316 31.0467968 -76.0042038
2504600.00 28653.9277 3842.97021 1669.26196 1306.89636 4582.09033 1328.56812 22.7365265 -5.93702316 31.5339222 -75.9421387
2504800.00 28653.9277 4289.93652 1668.19177 1215.43970 4676.34521 1252.47424 7.18013859 -5.93702316 31.7383556 -75.9529114
2505000.00 28653.9277 3128.72998 1689.07776 1302.45496 4298.99170 1322.42493 24.5232887 -5.93702316 31.4678097 -75.9610596
2505200.00 28653.9277 3094.28564 1685.49731 1310.04858 4288.61133 1326.14270 28.2903519 -5.93702316 31.5912476 -75.9757004
2505400.00 28653.9277 2469.89185 1647.18738 1224.92371 3904.24951 1269.72705 -0.209105074 -5.93702316 31.3401775 -75.9343796
2505600.00 28653.9277 3235.51758 1689.06482 1265.27466 4306.42383 1310.99780 -0.997469664 -5.93702316 31.2652473 -75.9909363
2505800.00 28653.9277 4460.31152 1698.76074 1267.29175 4829.96387 1283.79529 27.9904518 -5.93702316 31.5059986 -75.9999542
2506000.00 28653.9277 4606.48926 1672.76135 1262.14526 4859.90381 1286.85840 19.7718945 -5.93702316 31.5172768 -76.0023041
2506200.00 28653.9277 4130.75781 1676.76086 1241.37305 4644.32861 1259.64954 26.3925896 -5.93702316 31.3663673 -76.0354309
2506400.00 28653.9277 4000.31909 1706.70544 1291.85938 4670.25049 1323.61426 12.9933529 -5.93702316 31.3177414 -76.0659637
2506600.00 28653.9277 3812.25122 1641.31665 1285.92224 4520.33350 1323.24060 7.30388641 -5.93702316 31.4225636 -76.0447617
2506800.00 28653.9277 4552.69629 1690.29883 1257.32971 4850.14648 1289.34875 12.9856749 -5.93702316 31.0769787 -76.0816650
2507000.00 28653.9277 3987.27246 1689.69006 1309.32751 4665.25146 1346.20935 7.78725481 -5.93702316 31.4188099 -76.0879745
2507200.00 28653.9277 4393.18457 1648.44250 1287.74219 4772.04443 1324.87305 7.77925920 -5.93702316 31.1715889 -76.0817719
2507400.00 28653.9277 4166.16260 1651.68799 1263.49670 4656.17480 1292.23633 15.7903824 -5.93702316 31.5071297 -76.0370865
2507600.00 28653.9277 4347.75586 1734.41223 1257.39209 4808.67969 1265.19360 36.4347687 -5.93702316 31.7191296 -75.9553452
2507800.00 28653.9277 3683.59351 1691.17700 1290.33423 4520.84131 1311.34546 23.4365253 -5.93702316 31.5071068 -75.9549103
2508000.00 28653.9277 4306.13623 1665.39905 1211.24536 4676.12793 1244.57959 11.0622072 -5.93702316 31.5940742 -75.9904633
2508200.00 28653.9277 3824.94702 1690.97119 1283.42114 4572.79199 1312.71924 15.0758982 -5.93702316 31.5781994 -75.9522705
2508400.00 28653.9277 3891.54712 1727.06177 1234.78467 4588.07764 1257.26953 21.7142105 -5.93702316 31.7499485 -75.9490280
2508600.00 28653.9277 2568.77710 1656.76843 1193.45996 3923.68994 1234.65063 3.10292435 -5.93702316 31.6459656 -75.9394989
2508800.00 28653.9277 3427.05908 1649.58716 1265.39648 4347.11084 1297.36780 12.5604544 -5.93702316 31.4410763 -75.9728394
2509000.00 28653.9277 4271.87109 1698.78235 1293.34851 4777.29541 1305.04724 32.8307800 -5.93702316 31.4553528 -75.9848404
2509200.00 28653.9277 4686.33643 1676.78235 1240.60400 4875.75049 1279.84314 5.10923290 -5.93702316 31.6011467 -75.9493866
2509400.00 28653.9277 4834.94775 1659.27075 1250.62842 4930.36621 1271.40076 23.7359047 -5.93702316 31.4678535 -75.9760590
2509600.00 28653.9277 5358.04883 1736.10193 1251.03186 5226.19873 1274.47815 20.9161930 -5.93702316 31.6839657 -76.0464630
2509800.00 28653.9277 4472.42529 1603.22791 1311.53076 4783.73193 1315.44458 40.8451233 -5.93702316 31.3133049 -76.0722504
2510000.00 28653.9277 4588.96338 1700.10632 1331.25391 4949.03369 1350.97327 25.7081356 -5.93702316 30.6951103 -76.1226654
2510200.00 28653.9277 4754.83398 1690.06726 1278.75244 4955.80859 1301.50293 22.4677353 -5.93702316 30.8477802 -76.0659332
2510400.00 28653.9277 5188.77100 1665.17932 1273.29529 5106.80078 1286.92297 31.0135479 -5.93702316 31.3679562 -76.0091324
2510600.00 28653.9277 4317.61816 1737.84167 1290.96826 4833.09131 1322.81274 12.2443867 -5.93702316 31.8232594 -75.9120636
2510800.00 28653.9277 4413.18896 1700.39124 1296.14648 4840.75684 1304.96985 35.6327209 -5.93702316 31.4629478 -75.9190903
2511000.00 28653.9277 3645.25049 1726.91443 1211.64685 4461.86816 1238.42175 17.4396172 -5.93702316 31.6978836 -75.9123459
2511200.00 28653.9277 4635.74170 1672.87842 1263.98193 4874.08154 1282.10620 25.8921967 -5.93702316 31.9078732 -75.9243546
2511400.00 28653.9277 3439.22827 1718.19324 1287.37183 4442.77783 1313.85974 17.1080151 -5.93702316 32.3279114 -75.9239044
2511600.00 28653.9277 3954.44287 1661.92273 1241.34937 4555.78711 1247.82434 37.6182976 -5.93702316 31.8287182 -75.9220810
2511800.00 28653.9277 2648.09766 1711.86987 1250.78308 4069.26172 1272.36951 22.9075241 -5.93702316 31.4402428 -75.9340820
2512000.00 28653.9277 3091.27051 1666.46851 1295.67224 4253.94580 1324.13440 16.0233974 -5.93702316 31.4677715 -75.9533463
2512200.00 28653.9277 3711.49487 1629.50146 1271.00122 4451.49219 1284.57910 30.7861195 -5.93702316 31.5554848 -75.9195099
2512400.00 28653.9277 4609.34619 1642.28333 1239.69336 4808.16797 1262.84216 21.0793495 -5.93702316 31.7097569 -75.9378662
2512600.00 28653.9277 4086.48120 1729.42395 1236.00415 4673.12012 1257.07166 23.4486046 -5.93702316 31.4508438 -75.9669571
2512800.00 28653.9277 4481.64111 1689.52759 1225.05322 4787.40527 1247.21643 22.2375336 -5.93702316 31.5989246 -75.9997253
2513000.00 28653.9277 3665.26709 1685.86877 1279.28699 4496.82764 1298.60620 25.0871353 -5.93702316 31.6174355 -76.0237122
2513200.00 28653.9277 3591.59399 1688.62671 1307.77759 4497.28857 1320.67395 31.2617798 -5.93702316 31.8315201 -75.9896851
2513400.00 28653.9277 2686.27026 1669.80798 1201.25647 3993.62500 1224.45715 20.8141651 -5.93702316 31.9657211 -75.9804230
2513600.00 28653.9277 2378.39819 1727.12463 1276.53394 3997.56274 1302.72766 17.8804874 -5.93702316 31.9490681 -76.0233917
2513800.00 28653.9277 2869.93970 1713.99194 1245.45032 4158.75586 1263.50378 26.4660168 -5.93702316 31.5200157 -76.0395432
2514000.00 28653.9277 3707.81567 1668.93811 1259.60193 4477.99219 1280.88110 23.1567078 -5.93702316 31.6047878 -76.0406723
2514200.00 28653.9277 4276.56836 1766.90222 1268.34570 4822.37500 1300.34033 12.9377422 -5.93702316 31.1379337 -76.0702515
2514400.00 28653.9277 3625.48364 1683.94885 1254.56799 4453.56348 1306.61047 -7.17063570 -5.93702316 31.2379971 -76.1098328
2514600.00 28653.9277 4581.15039 1704.88892 1251.79443 4871.09180 1287.04089 9.60613155 -5.93702316 31.2636204 -76.1163483
2514800.00 28653.9277 4528.68506 1787.07910 1316.11121 4995.67432 1328.99243 32.5072556 -5.93702316 30.7148457 -76.1032791
2515000.00 28653.9277 5317.66846 1730.96436 1247.26685 5200.42188 1281.33911 11.1951637 -5.93702316 30.8727264 -76.1401825
2515200.00 28653.9277 4284.68164 1639.68555 1278.55896 4708.76221 1319.31213 4.68345690 -5.93702316 30.6914139 -76.1281204
2515400.00 28653.9277 4846.33447 1688.99707 1325.44531 5039.66797 1351.18677 20.3118191 -5.93702316 30.0832443 -76.1365662
2515600.00 28653.9277 3666.99805 1676.67041 1292.14563 4501.21094 1311.54480 26.5776253 -5.93702316 30.1759357 -76.1527176
2515800.00 28653.9277 4271.12549 1690.62109 1241.90820 4717.38184 1280.64941 7.14722252 -5.93702316 30.2663994 -76.1548843
2516000.00 28653.9277 3747.69531 1681.05383 1323.38208 4570.55322 1330.10400 38.6081314 -5.93702316 30.7765045 -76.1065063
2516200.00 28653.9277 3958.45068 1690.66150 1217.39233 4562.24316 1255.60950 6.72986937 -5.93702316 31.1333313 -76.0803757
2516400.00 28653.9277 3019.02856 1642.37415 1294.80554 4198.79590 1327.98218 11.8409834 -5.93702316 31.0502281 -76.0677719
2516600.00 28653.9277 3791.35205 1669.35229 1306.20715 4559.92041 1329.07068 22.6738319 -5.93702316 30.5296097 -76.0670090
