Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long 
2500200.00 28474.8887 4391.03711 1689.42175 1277.33545 4790.25439 1292.57385 29.4765453 -5.97435284 31.3985367 -76.1134872
2500400.00 28474.8887 4213.35449 1714.14075 1268.22144 4732.07129 1295.36646 17.3366470 -5.97435284 31.5913486 -76.0729065
2500600.00 28474.8887 3729.07397 1638.37317 1260.47974 4447.45166 1261.96631 42.7265205 -5.97435284 31.8865967 -76.0997772
2500800.00 28474.8887 5397.36768 1745.31445 1288.11658 5274.83398 1276.60400 55.7320633 -5.97435284 31.8570480 -76.0765533
2501000.00 28474.8887 5343.43359 1703.30725 1261.38867 5183.70117 1278.28430 27.1613045 -5.97435284 32.0356026 -76.0925522
2501200.00 28474.8887 6504.25488 1659.55627 1258.56494 5619.18896 1255.64001 46.9551277 -5.97435284 32.0756721 -76.1059418
2501400.00 28474.8887 6952.63623 1687.03271 1321.40784 5895.71094 1316.86108 49.0916862 -5.97435284 31.5408669 -76.0858383
2501600.00 28474.8887 7244.79834 1709.21301 1297.46143 6015.27295 1303.89368 37.7055893 -5.97435284 31.9177895 -76.0556946
2501800.00 28474.8887 6153.78564 1683.39905 1224.10046 5463.02539 1251.63806 16.5071106 -5.97435284 32.0052719 -76.0500336
2502000.00 28474.8887 5832.82373 1702.86523 1246.93274 5372.03564 1285.04321 6.32208872 -5.97435284 31.5989723 -76.0314713
2502200.00 28474.8887 6631.15283 1640.81555 1349.28821 5743.86914 1351.76868 41.6512718 -5.97435284 31.8926506 -76.0244675
2502400.00 28474.8887 6383.29199 1693.65674 1209.44592 5553.93701 1254.03052 -0.571669221 -5.97435284 31.9962883 -76.0091705
2502600.00 28474.8887 5601.96289 1707.27136 1270.18591 5303.82373 1302.49365 11.7574348 -5.97435284 31.9417076 -76.0068130
2502800.00 28474.8887 5168.50293 1707.78479 1273.85876 5128.00439 1303.84534 14.1050768 -5.97435284 31.9067287 -75.9983444
2503000.00 28474.8887 3502.35059 1644.11475 1268.06946 4366.62988 1291.21118 21.3313675 -5.97435284 31.5284863 -76.0016098
2503200.00 28474.8887 4207.06836 1705.37256 1321.02246 4773.49365 1331.83191 34.5379486 -5.97435284 30.7345905 -76.0820770
2503400.00 28474.8887 3861.73535 1668.63416 1275.86426 4548.18848 1296.98523 24.3837013 -5.97435284 30.5602169 -76.0647888
2503600.00 28474.8887 5284.45996 1629.14685 1244.86902 5068.53076 1264.60962 25.8810177 -5.97435284 30.4754429 -76.0970688
2503800.00 28474.8887 5527.58447 1700.56458 1287.38196 5283.42529 1306.18262 26.5572433 -5.97435284 30.7281227 -76.0861206
2504000.00 28474.8887 5637.30420 1713.22156 1264.08923 5318.35400 1286.21765 22.4964638 -5.97435284 31.4073334 -76.0321274
2504200.00 28474.8887 4633.55664 1626.12158 1256.76233 4807.09326 1281.60254 19.8471394 -5.97435284 31.3711777 -76.0584946
2504400.00 28474.8887 4766.00684 1682.74048 1273.94043 4935.89404 1286.57800 32.3402863 -5.97435284 31.0805664 -76.0585098
2504600.00 28474.8887 4003.03271 1669.26196 1317.47510 4649.10449 1328.56812 33.3323402 -5.97435284 31.5709267 -75.9963150
2504800.00 28474.8887 4449.59961 1668.19177 1225.70056 4741.70898 1252.47424 17.4536018 -5.97435284 31.7800694 -76.0071869
2505000.00 28474.8887 3286.19141 1689.07776 1313.22974 4366.98730 1322.42493 35.3138885 -5.97435284 31.5062523 -76.0153656
2505200.00 28474.8887 3253.09155 1685.49731 1320.99133 4357.42285 1326.14270 39.2458229 -5.97435284 31.6324577 -76.0297623
2505400.00 28474.8887 2609.06592 1647.18738 1234.33154 3965.00415 1269.72705 9.21399307 -5.97435284 31.3786106 -75.9881439
2505600.00 28474.8887 3380.15576 1689.06482 1274.75061 4367.51660 1310.99780 8.49656200 -5.97435284 31.3011036 -76.0448532
2505800.00 28474.8887 4629.97607 1698.76074 1278.46765 4899.95117 1283.79529 39.1828537 -5.97435284 31.5432549 -76.0538940
2506000.00 28474.8887 4771.42236 1672.76135 1272.73706 4926.96094 1286.85840 30.3812141 -5.97435284 31.5535736 -76.0561066
2506200.00 28474.8887 4295.17285 1676.76086 1252.22827 4712.67578 1259.64954 37.2644882 -5.97435284 31.4037495 -76.0894470
2506400.00 28474.8887 4152.31006 1706.70544 1301.56921 4732.63379 1323.61426 22.7188969 -5.97435284 31.3562183 -76.1201477
2506600.00 28474.8887 3964.75342 1641.31665 1295.79700 4583.58447 1323.24060 17.1952915 -5.97435284 31.4599819 -76.0989075
2506800.00 28474.8887 4712.75879 1690.29883 1267.49304 4914.89258 1289.34875 23.1710320 -5.97435284 31.1091366 -76.1359100
2507000.00 28474.8887 4139.44775 1689.69006 1319.08435 4727.79199 1346.20935 17.5626945 -5.97435284 31.4543438 -76.1421814
2507200.00 28474.8887 4548.67871 1648.44250 1297.56799 4834.97217 1324.87305 17.6267300 -5.97435284 31.2040043 -76.1358566
2507400.00 28474.8887 4325.14844 1651.68799 1273.78162 4721.60449 1292.23633 26.0924892 -5.97435284 31.5439396 -76.0911407
2507600.00 28474.8887 4520.62842 1734.41223 1268.92322 4880.64893 1265.19360 47.9788475 -5.97435284 31.7598896 -76.0091095
2507800.00 28474.8887 3844.92871 1691.17700 1301.15955 4589.04736 1311.34546 34.2787323 -5.97435284 31.5441208 -76.0087509
2508000.00 28474.8887 4464.66650 1665.39905 1221.42627 4740.89893 1244.57959 21.2594395 -5.97435284 31.6317482 -76.0444717
2508200.00 28474.8887 3981.56299 1690.97119 1293.68433 4638.10742 1312.71924 25.3551922 -5.97435284 31.6159821 -76.0061493
2508400.00 28474.8887 4052.49219 1727.06177 1245.43726 4655.40576 1257.26953 32.3812218 -5.97435284 31.7892399 -76.0027924
2508600.00 28474.8887 2710.97876 1656.76843 1203.11829 3985.69409 1234.65063 12.7779703 -5.97435284 31.6830387 -75.9933014
2508800.00 28474.8887 3580.75903 1649.58716 1275.65125 4412.24561 1297.36780 22.8340225 -5.97435284 31.4762020 -76.0267868
2509000.00 28474.8887 4442.28711 1698.78235 1304.71240 4848.27490 1305.04724 44.2137451 -5.97435284 31.4903412 -76.0389023
2509200.00 28474.8887 4844.82666 1676.78235 1250.51453 4939.24219 1279.84314 15.0369740 -5.97435284 31.6378117 -76.0033798
2509400.00 28474.8887 4997.60498 1659.27075 1260.87805 4995.53906 1271.40076 34.0034142 -5.97435284 31.5040264 -76.0300446
2509600.00 28474.8887 5529.04248 1736.10193 1261.81580 5294.00244 1274.47815 31.7135258 -5.97435284 31.7248154 -76.1007080
2509800.00 28474.8887 4645.83398 1603.22791 1323.07983 4855.61572 1315.44458 52.4133568 -5.97435284 31.3485222 -76.1266098
2510000.00 28474.8887 4755.46582 1700.10632 1342.02356 5016.96582 1350.97327 36.5043678 -5.97435284 30.7230968 -76.1771851
2510200.00 28474.8887 4921.25000 1690.06726 1289.41174 5023.16113 1301.50293 33.1517677 -5.97435284 30.8773422 -76.1203079
2510400.00 28474.8887 5363.29883 1665.17932 1284.49768 5176.93213 1286.92297 42.2337227 -5.97435284 31.4043598 -76.0633087
2510600.00 28474.8887 4475.51514 1737.84167 1301.05127 4897.47168 1322.81274 22.3413658 -5.97435284 31.8630447 -75.9658890
2510800.00 28474.8887 4582.93115 1700.39124 1307.33606 4910.91357 1304.96985 46.8398170 -5.97435284 31.4992599 -75.9729538
2511000.00 28474.8887 3803.14062 1726.91443 1222.13794 4528.40918 1238.42175 27.9474716 -5.97435284 31.7351360 -75.9663849
2511200.00 28474.8887 4804.01123 1672.87842 1274.94617 4942.82031 1282.10620 36.8683739 -5.97435284 31.9500809 -75.9783707
2511400.00 28474.8887 3594.36694 1718.19324 1297.75195 4508.60303 1313.85974 27.4978542 -5.97435284 32.3722267 -75.9779205
2511600.00 28474.8887 4122.50781 1661.92273 1252.67419 4626.57959 1247.82434 48.9577141 -5.97435284 31.8682022 -75.9761429
2511800.00 28474.8887 2800.10205 1711.86987 1261.31580 4136.00391 1272.36951 33.4562798 -5.97435284 31.4781647 -75.9881210
2512000.00 28474.8887 3241.67969 1666.46851 1305.77991 4318.44336 1324.13440 26.1490364 -5.97435284 31.5039215 -76.0075226
2512200.00 28474.8887 3871.42261 1629.50146 1281.67725 4518.89160 1284.57910 41.4791718 -5.97435284 31.5922947 -75.9733505
2512400.00 28474.8887 4774.89014 1642.28333 1250.38135 4875.56689 1262.84216 31.7814522 -5.97435284 31.7494907 -75.9917755
2512600.00 28474.8887 4248.39307 1729.42395 1246.62073 4740.30469 1257.07166 34.0819168 -5.97435284 31.4880428 -76.0209808
2512800.00 28474.8887 4651.62598 1689.52759 1236.22583 4857.46680 1247.21643 33.4274139 -5.97435284 31.6358089 -76.0538788
2513000.00 28474.8887 3826.31616 1685.86877 1290.09668 4564.94678 1298.60620 35.9142494 -5.97435284 31.6541977 -76.0779648
2513200.00 28474.8887 3753.60010 1688.62671 1318.73853 4566.14941 1320.67395 42.2377205 -5.97435284 31.8706875 -76.0438995
2513400.00 28474.8887 2838.67163 1669.80798 1211.83545 4060.47876 1224.45715 31.4064713 -5.97435284 32.0065842 -76.0346298
2513600.00 28474.8887 2525.31128 1727.12463 1286.77466 4062.60327 1302.72766 28.1361961 -5.97435284 31.9886570 -76.0778580
2513800.00 28474.8887 3024.29712 1713.99194 1256.09802 4226.01123 1263.50378 37.1307716 -5.97435284 31.5574226 -76.0940094
2514000.00 28474.8887 3869.62158 1668.93811 1270.45959 4546.36279 1280.88110 34.0335388 -5.97435284 31.6401119 -76.0951385
2514200.00 28474.8887 4432.76953 1766.90222 1278.29749 4886.02734 1300.34033 22.9119167 -5.97435284 31.1702042 -76.1248550
2514400.00 28474.8887 3771.93262 1683.94885 1263.93604 4514.28174 1306.61047 2.21745539 -5.97435284 31.2724686 -76.1644363
2514600.00 28474.8887 4742.03662 1704.88892 1261.99292 4936.14062 1287.04089 19.8226624 -5.97435284 31.3001995 -76.1708832
2514800.00 28474.8887 4693.31299 1787.07910 1326.73425 5062.83838 1328.99243 43.1548233 -5.97435284 30.7445583 -76.1576004
