Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long 
2000200.00 30673.1152 1387.61865 1712.13220 1196.61035 3529.47412 1340.68262 -99.3132324 -5.54619360 30.6809063 -75.4399719
2000400.00 30673.1152 1998.99072 1687.42493 1143.50354 3725.14868 1287.68689 -99.5382080 -5.54619360 30.8172359 -75.4623337
2000600.00 30673.1152 2007.60303 1668.17114 1148.07007 3714.31421 1293.06018 -100.344513 -5.54619360 30.8504677 -75.4960938
2000800.00 30673.1152 1852.17859 1711.89502 1176.54712 3716.98804 1319.79333 -98.7475891 -5.54619360 30.9839821 -75.4825745
2001000.00 30673.1152 2207.48120 1698.55408 1146.08691 3832.12671 1290.43042 -100.180351 -5.54619360 31.2864914 -75.4496155
2001200.00 30673.1152 2669.13721 1653.66357 1178.55774 4026.22217 1322.00854 -98.9704056 -5.54619360 30.9414406 -75.4217300
2001400.00 30673.1152 3825.27197 1696.84009 1213.48669 4621.50830 1352.59253 -94.7920532 -5.54619360 31.1070061 -75.4207993
2001600.00 30673.1152 3291.13892 1664.83936 1151.71265 4288.79639 1295.00879 -98.5520706 -5.54619360 30.7360497 -75.4802475
2001800.00 30673.1152 2815.68262 1675.87085 1195.18677 4130.61377 1339.36084 -99.6155853 -5.54619360 30.9177303 -75.4763184
2002000.00 30673.1152 2015.60840 1670.74805 1131.48657 3703.88892 1274.73535 -98.5540695 -5.54619360 30.7670364 -75.4616241
2002200.00 30673.1152 1952.58264 1706.08948 1130.31799 3709.86792 1277.47693 -102.834663 -5.54619360 31.1452274 -75.4694519
2002400.00 30673.1152 2076.72266 1702.70056 1163.36792 3795.06128 1300.15662 -92.1166153 -5.54619360 30.7648983 -75.4369583
2002600.00 30673.1152 1816.32288 1631.58240 1151.83374 3595.92261 1293.21814 -97.0180054 -5.54619360 31.0570087 -75.4235611
2002800.00 30673.1152 1852.88525 1658.71680 1161.71265 3649.29150 1311.37927 -105.165024 -5.54619360 30.8907661 -75.3923416
2003000.00 30673.1152 2926.36011 1705.66089 1155.97351 4170.70020 1292.70007 -92.4856873 -5.54619360 31.1816902 -75.4226379
2003200.00 30673.1152 2014.38062 1697.04749 1154.07703 3752.22925 1300.03345 -101.863052 -5.54619360 31.3143845 -75.4076996
2003400.00 30673.1152 2823.74561 1689.53528 1096.38867 4049.08691 1241.01355 -100.388588 -5.54619360 31.1657887 -75.4020538
2003600.00 30673.1152 2824.54639 1726.20691 1156.38525 4146.11328 1296.67334 -95.9826279 -5.54619360 31.1523724 -75.4577637
2003800.00 30673.1152 2853.47437 1656.91772 1193.95459 4127.33398 1339.33655 -101.026657 -5.54619360 31.1152077 -75.4705429
2004000.00 30673.1152 1496.77856 1615.60376 1101.79126 3386.95776 1246.35474 -100.249443 -5.54619360 31.1585369 -75.4725342
2004200.00 30673.1152 1225.80493 1707.58044 1114.13684 3370.06372 1252.92236 -94.4310150 -5.54619360 31.1397209 -75.4943085
2004400.00 30673.1152 854.280334 1715.57983 1155.68286 3253.41309 1304.90356 -105.050056 -5.54619360 31.2959137 -75.4665222
2004600.00 30673.1152 1987.00391 1652.53491 1108.09106 3649.48413 1247.00378 -94.8438950 -5.54619360 31.4274597 -75.4962540
2004800.00 30673.1152 1127.46240 1708.15918 1189.04443 3401.55811 1331.62158 -98.2714691 -5.54619360 31.1675835 -75.4732666
2005000.00 30673.1152 2136.84741 1672.58716 1153.98328 3782.45898 1295.63672 -97.2527847 -5.54619360 31.0565529 -75.4571533
2005200.00 30673.1152 2327.68311 1726.93408 1152.48865 3920.67896 1292.26050 -95.0038452 -5.54619360 30.6720562 -75.4399872
2005400.00 30673.1152 2599.02661 1710.54614 1179.72900 4052.91309 1318.20557 -93.9214554 -5.54619360 30.8852043 -75.4403458
2005600.00 30673.1152 1202.46680 1660.42786 1157.46936 3355.80396 1291.66431 -89.9597778 -5.54619360 31.1671486 -75.4022980
2005800.00 30673.1152 1555.57471 1725.62573 1198.59973 3620.08984 1338.67175 -95.7600937 -5.54619360 31.0937214 -75.4057312
2006000.00 30673.1152 1511.09448 1722.28894 1187.75403 3586.00977 1329.53662 -97.3349991 -5.54619360 30.9439449 -75.3915482
2006200.00 30673.1152 3508.39209 1680.25134 1138.16882 4387.84961 1280.95105 -98.2156448 -5.54619360 30.8270741 -75.3936844
2006400.00 30673.1152 2132.80542 1687.47156 1144.68884 3786.24097 1292.79956 -103.595451 -5.54619360 30.8873119 -75.4025803
2006600.00 30673.1152 2429.28149 1727.76184 1165.83496 3980.30176 1310.27527 -100.153969 -5.54619360 31.1486931 -75.4351578
2006800.00 30673.1152 1483.14075 1673.18506 1124.37012 3461.01709 1264.05566 -95.3318405 -5.54619360 31.1010323 -75.4548416
2007000.00 30673.1152 2175.80322 1755.00696 1123.14819 3851.47021 1264.07507 -96.4317169 -5.54619360 30.9514084 -75.4466324
2007200.00 30673.1152 2941.53223 1694.08118 1147.04456 4156.97900 1282.44971 -91.1669388 -5.54619360 31.1689301 -75.4070129
