Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long 
2000200.00 30299.1562 1512.52368 1712.13220 1203.15735 3583.64673 1340.68262 -92.7299423 -5.61464596 30.7511711 -75.5465012
2000400.00 30299.1562 2133.33423 1687.42493 1150.23352 3780.34058 1287.68689 -92.7701263 -5.61464596 30.8860207 -75.5693283
2000600.00 30299.1562 2140.69263 1668.17114 1154.67737 3768.78247 1293.06018 -93.7015381 -5.61464596 30.9222164 -75.6034393
2000800.00 30299.1562 1987.25305 1711.89502 1183.57275 3773.59912 1319.79333 -91.6888657 -5.61464596 31.0579967 -75.5897141
2001000.00 30299.1562 2345.23730 1698.55408 1152.94043 3887.81299 1290.43042 -93.2970276 -5.61464596 31.3639126 -75.5568771
2001200.00 30299.1562 2810.49438 1653.66357 1185.19714 4080.76782 1322.00854 -92.2975082 -5.61464596 31.0149136 -75.5287704
2001400.00 30299.1562 3983.24316 1696.84009 1220.39246 4677.35645 1352.59253 -87.8556595 -5.61464596 31.1834946 -75.5279770
2001600.00 30299.1562 3443.33081 1664.83936 1158.64001 4345.02539 1295.00879 -91.5850296 -5.61464596 30.8038425 -75.5876923
2001800.00 30299.1562 2957.72925 1675.87085 1201.69067 4184.52930 1339.36084 -93.0723953 -5.61464596 30.9858189 -75.5837021
2002000.00 30299.1562 2147.99170 1670.74805 1138.00769 3757.91479 1274.73535 -91.9906616 -5.61464596 30.8316631 -75.5685730
2002200.00 30299.1562 2082.87598 1706.08948 1136.68872 3763.16382 1277.47693 -96.4273300 -5.61464596 31.2158909 -75.5767899
2002400.00 30299.1562 2217.19434 1702.70056 1170.63696 3853.07617 1300.15662 -84.8094788 -5.61464596 30.8338070 -75.5439224
2002600.00 30299.1562 1948.55701 1631.58240 1158.61926 3651.23413 1293.21814 -90.1952896 -5.61464596 31.1267948 -75.5304413
2002800.00 30299.1562 1977.62805 1658.71680 1167.68945 3700.28467 1311.37927 -99.1523285 -5.61464596 30.9613781 -75.4989700
2003000.00 30299.1562 3077.59961 1705.66089 1163.29614 4228.89307 1292.70007 -85.1282578 -5.61464596 31.2543201 -75.5300064
2003200.00 30299.1562 2147.71338 1697.04749 1160.71912 3806.80273 1300.03345 -95.1866074 -5.61464596 31.3873234 -75.5150146
2003400.00 30299.1562 2963.99048 1689.53528 1102.73328 4102.00293 1241.01355 -94.0088577 -5.61464596 31.2376804 -75.5090332
2003600.00 30299.1562 2973.62939 1726.20691 1163.61255 4203.81299 1296.67334 -88.7227325 -5.61464596 31.2269268 -75.5650253
2003800.00 30299.1562 2995.96265 1656.91772 1200.49048 4181.27051 1339.33655 -94.4570465 -5.61464596 31.1890011 -75.5780487
2004000.00 30299.1562 1624.34546 1615.60376 1108.50476 3441.87744 1246.35474 -93.5008240 -5.61464596 31.2312660 -75.5803604
2004200.00 30299.1562 1353.12646 1707.58044 1121.17786 3426.68066 1252.92236 -87.3546982 -5.61464596 31.2123489 -75.6022797
2004400.00 30299.1562 969.651245 1715.57983 1161.97766 3306.02905 1304.90356 -98.7262192 -5.61464596 31.3746452 -75.5743027
2004600.00 30299.1562 2121.69263 1652.53491 1114.92664 3704.99951 1247.00378 -87.9813080 -5.61464596 31.5083466 -75.6041718
2004800.00 30299.1562 1249.33374 1708.15918 1195.64319 3455.86060 1331.62158 -91.6417999 -5.61464596 31.2445259 -75.5810699
2005000.00 30299.1562 2273.81250 1672.58716 1160.82715 3838.17139 1295.63672 -90.3772812 -5.61464596 31.1325417 -75.5646896
2005200.00 30299.1562 2469.20508 1726.93408 1159.56738 3977.59912 1292.26050 -87.8883514 -5.61464596 30.7423306 -75.5470276
2005400.00 30299.1562 2743.60742 1710.54614 1186.77686 4109.67383 1318.20557 -86.8380127 -5.61464596 30.9566689 -75.5474472
2005600.00 30299.1562 1334.74207 1660.42786 1165.03491 3415.26147 1291.66431 -82.3628235 -5.61464596 31.2424545 -75.5090485
2005800.00 30299.1562 1686.54065 1725.62573 1205.59668 3676.47461 1338.67175 -88.7330170 -5.61464596 31.1705227 -75.5125961
2006000.00 30299.1562 1641.31335 1722.28894 1194.71570 3642.27173 1329.53662 -90.3400345 -5.61464596 31.0171776 -75.4980621
2006200.00 30299.1562 3660.82959 1680.25134 1144.88745 4442.79346 1280.95105 -91.4633484 -5.61464596 30.8995476 -75.4998474
2006400.00 30299.1562 2263.86768 1687.47156 1150.96204 3838.79614 1292.79956 -97.2888947 -5.61464596 30.9601688 -75.5088806
2006600.00 30299.1562 2567.13330 1727.76184 1172.45239 4034.58447 1310.27527 -93.5080795 -5.61464596 31.2272396 -75.5421066
2006800.00 30299.1562 1613.26465 1673.18506 1131.37146 3517.42920 1264.05566 -88.3016281 -5.61464596 31.1792831 -75.5620041
2007000.00 30299.1562 2313.69092 1755.00696 1130.07275 3907.45825 1264.07507 -89.4717865 -5.61464596 31.0232315 -75.5538254
2007200.00 30299.1562 3094.60205 1694.08118 1154.54846 4216.07910 1282.44971 -83.6322937 -5.61464596 31.2449093 -75.5138245
