Temperature (K)   DeltaA (kJ/mol)
0.0                9.011230
20.0               8.992130
40.0               8.913830
60.0               8.807430
80.0               8.689630
100.0              8.566230
120.0              8.439530
140.0              8.310830
160.0              8.180730
180.0              8.049830
200.0              7.918330
220.0              7.786330
240.0              7.654030
260.0              7.521430
280.0              7.388530
300.0              7.255530
320.0              7.122430
340.0              6.989130
360.0              6.855630
380.0              6.722130
400.0              6.588730
