Temperature (K)   DeltaA (kJ/mol)
0.0                9.208070
20.0               9.192870
40.0               9.123570
60.0               9.025670
80.0               8.913870
100.0              8.794070
120.0              8.669370
140.0              8.541370
160.0              8.411070
180.0              8.279170
200.0              8.146170
220.0              8.012170
240.0              7.877370
260.0              7.742070
280.0              7.606170
300.0              7.469870
320.0              7.333270
340.0              7.196370
360.0              7.059070
380.0              6.921670
400.0              6.784070
