Temperature (K)   DeltaA (kJ/mol)
0.0                8.774550
20.0               8.731950
40.0               8.568550
60.0               8.345150
80.0               8.093150
100.0              7.825250
120.0              7.547550
140.0              7.263250
160.0              6.974350
180.0              6.682150
200.0              6.387550
220.0              6.090950
240.0              5.792850
260.0              5.493450
280.0              5.193050
300.0              4.891850
320.0              4.589850
340.0              4.287250
360.0              3.984150
380.0              3.680550
400.0              3.376650
