Temperature (K)   DeltaA (kJ/mol)
0.0                5.150700
20.0               5.132600
40.0               5.046500
60.0               4.920300
80.0               4.774500
100.0              4.617900
120.0              4.454900
140.0              4.287700
160.0              4.117600
180.0              3.945400
200.0              3.771900
220.0              3.597100
240.0              3.421400
260.0              3.245100
280.0              3.068100
300.0              2.890700
320.0              2.712900
340.0              2.534600
360.0              2.356100
380.0              2.177200
400.0              1.998300
