Temperature (K)   DeltaA (kJ/mol)
0.0                2.269280
20.0               2.260380
40.0               2.226580
60.0               2.184680
80.0               2.140780
100.0              2.095880
120.0              2.050380
140.0              2.004480
160.0              1.958180
180.0              1.911780
200.0              1.865180
220.0              1.818480
240.0              1.771680
260.0              1.724780
280.0              1.677780
300.0              1.630680
320.0              1.583580
340.0              1.536380
360.0              1.489080
380.0              1.441780
400.0              1.394580
