Temperature (K)   DeltaA (kJ/mol)
0.0                8.549610
20.0               8.523910
40.0               8.428710
60.0               8.304410
80.0               8.169910
100.0              8.030810
120.0              7.889410
140.0              7.746410
160.0              7.602410
180.0              7.457810
200.0              7.312810
220.0              7.167410
240.0              7.021710
260.0              6.875810
280.0              6.729610
300.0              6.583310
320.0              6.436910
340.0              6.290310
360.0              6.143510
380.0              5.996610
400.0              5.849810
